CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiling_decorator.py
MEM 34.550781 1773829299.6666
MEM 34.550781 1773829299.7671
MEM 34.550781 1773829299.8677
MEM 34.550781 1773829299.9682
MEM 34.550781 1773829300.0687
MEM 34.550781 1773829300.1693
MEM 34.550781 1773829300.2698
MEM 34.550781 1773829300.3703
MEM 34.550781 1773829300.4707
MEM 34.550781 1773829300.5712
MEM 34.550781 1773829300.6717
MEM 34.550781 1773829300.7722
MEM 34.550781 1773829300.8726
MEM 34.550781 1773829300.9731
MEM 34.550781 1773829301.0735
MEM 34.550781 1773829301.1740
MEM 34.550781 1773829301.2744
MEM 34.550781 1773829301.3749
MEM 34.550781 1773829301.4754
MEM 34.550781 1773829301.5759
MEM 34.550781 1773829301.6763
MEM 34.550781 1773829301.7767
MEM 34.550781 1773829301.8771
MEM 34.550781 1773829301.9776
MEM 34.550781 1773829302.0780
MEM 34.550781 1773829302.1785
MEM 34.550781 1773829302.2788
MEM 34.550781 1773829302.3793
MEM 34.550781 1773829302.4799
MEM 34.550781 1773829302.5803
MEM 34.550781 1773829302.6807
MEM 34.550781 1773829302.7812
MEM 34.550781 1773829302.8816
MEM 34.550781 1773829302.9821
MEM 34.550781 1773829303.0825
MEM 34.550781 1773829303.1829
MEM 34.550781 1773829303.2834
MEM 34.550781 1773829303.3838
MEM 34.550781 1773829303.4843
MEM 34.550781 1773829303.5848
MEM 34.550781 1773829303.6852
MEM 34.550781 1773829303.7856
MEM 34.550781 1773829303.8860
MEM 34.550781 1773829303.9864
MEM 34.550781 1773829304.0869
MEM 34.550781 1773829304.1873
MEM 34.550781 1773829304.2877
MEM 34.550781 1773829304.3881
MEM 34.550781 1773829304.4885
MEM 34.550781 1773829304.5889
MEM 34.550781 1773829304.6893
MEM 34.550781 1773829304.7898
MEM 34.550781 1773829304.8902
MEM 34.550781 1773829304.9906
MEM 34.550781 1773829305.0911
MEM 34.550781 1773829305.1914
MEM 34.550781 1773829305.2919
MEM 34.550781 1773829305.3923
MEM 34.550781 1773829305.4927
MEM 34.550781 1773829305.5932
MEM 34.550781 1773829305.6935
MEM 34.550781 1773829305.7939
MEM 34.550781 1773829305.8943
MEM 34.550781 1773829305.9947
MEM 34.550781 1773829306.0952
MEM 34.550781 1773829306.1955
MEM 34.550781 1773829306.2959
MEM 34.550781 1773829306.3963
MEM 34.550781 1773829306.4968
MEM 34.550781 1773829306.5972
MEM 34.550781 1773829306.6976
